Supplement,Effectiveness,Description
Croton Seeds,Insufficient Evidence for,Blockage in the bowel. Constipation. Gallbladder disease. Gout. Malaria. Nerve pain. Rheumatoid arthritis (RA). Swelling (inflammation) of the main airways in the lung (bronchitis). Other conditions.
Cubebs,Insufficient Evidence for,"Increasing urination. Amoebic dysentery. Bacterial infections. Intestinal gas (flatulence). Diarrhea. Gonorrhea. Enlarged prostate (benign prostatic hyperplasia, BPH). Cancer. Loosening mucus. Reducing swelling. Other conditions."
Cucumber,,
Cudweed,Insufficient Evidence for,"Aphrodisiac. Blood clots. Constipation or hemorrhoids, when used as an enema. Cough, tonsillitis. Depression, sleep problems, anxiety. Diarrhea, gut infections. Diseases of the mouth or throat, when used as a gargle or rinse. High blood pressure. Stomach ulcers. Wounds, ulcers, burns, or head lice, when used topically."
Cumin,,
Cursed Buttercup,,
Cyanostane [Fast Facts],,
Cyclamen,Insufficient Evidence for,"Rhinosinusitis (swelling of the nasal passages and sinuses which is usually caused by an infection). Early research shows that using a nose spray containing cyclamen every day for 15 days might decrease face pain from sinusitis. But it doesn't seem to improve other symptoms. Menstrual disorders. ""Nervous emotional states."" Digestion problems. Other conditions."
Cypress,,
D-Mannose,Likely Effective for,"An inherited disorder called carbohydrate-deficient glycoprotein syndrome type 1b. Taking d-mannose by mouth can improve digestive problems, low blood sugar, and blood clotting disorders in people with this condition. It's not clear if it helps prevent liver problems."
Daffodil,,
Damiana,,
Dandelion,,
Danshen,,
Date Palm,Insufficient Evidence for,Aging skin. Early research suggests that applying a cream containing 5% date palm seed extract around the eyes for 5 weeks reduces the depth and improves the appearance of wrinkles. Conditions in a man that prevent him from getting a woman pregnant within a year of trying to conceive (male infertility). Early research suggests that taking date palm pollen by mouth increases the number of sperm and the movement of sperm in infertile men. Swelling (inflammation) and sores inside the mouth (oral mucositis). Receiving chemotherapy and radiation for head and neck cancer can cause sores in the mouth. Early research shows that swishing a solution of date palm pollen around the mouth before swallowing helps to prevent the formation of these sores during cancer treatment. Breathing problems. Coughs. Other conditions.
Datura Wrightii,Insufficient Evidence for,Appetite stimulant. Skin diseases. Wound healing. Other conditions.
Deanol,Likely InEffective for,Alzheimer disease. Taking deanol by mouth does not seem to improve memory in people with Alzheimer disease. A movement disorder often caused by antipsychotic drugs (tardive dyskinesia). Taking deanol by mouth does not seem to improve symptoms of tardive dyskinesia.
Deer Velvet,,
Delta-8-Tetrahydrocannabinol (Delta-8-Thc),,
Delta-9-Tetrahydrocannabinol (Thc),,
Dendrobium,Insufficient Evidence for,A type of inflammatory bowel disease (Crohn disease). A type of inflammatory bowel disease (ulcerative colitis). An eating disorder (anorexia nervosa). Athletic performance. Cough. Dry mouth. Erectile dysfunction (ED). Nausea and vomiting. Stomach pain. Stomach ulcers. Swelling (inflammation) of the stomach (gastritis). Tuberculosis. Other conditions.
Desert Parsley,Insufficient Evidence for,"Asthma. Colds. Cough. Flu. Lung injuries. Pneumonia. Tuberculosis. Viral infections. Skin wounds, when applied to the skin. Boils, when applied to the skin. Bruises, when applied to the skin. Sprains, when applied to the skin. Broken bones, when applied to the skin. Joint problems, when applied to the skin. Pain, when applied to the skin. Other conditions."
Devil'S Claw,Possibly Effective for,"Back pain. Taking devil's claw by mouth seems to reduce lower back pain. Devil's claw seems to work about as well as some non-steroidal anti-inflammatory drugs (NSAIDs). Osteoarthritis. Taking devil's claw by mouth alone, with other ingredients, or along with nonsteroidal anti-inflammatory drugs (NSAIDs) seems to help reduce osteoarthritis pain. Some people taking devil's claw seem to be able to lower the dose of NSAIDs taken for pain relief."
Devil'S Club,Insufficient Evidence for,Arthritis. Wounds. Fever. Tuberculosis. Stomach trouble. Coughs. Colds. Pneumonia. Diabetes. Low blood sugar. Emptying the bowels. Causing vomiting. Other conditions. Swollen glands. Boils. Sores. Skin infections. Other conditions.
Dhea,Likely Effective for,Thinning of vaginal tissue (vaginal atrophy). Using vaginal inserts containing DHEA can reduce pain during sex by up to 15% after menopause. A prescription DHEA product is available for this condition.
Dhea,Possibly Effective for,Aging skin. Taking DHEA by mouth or applying it to the skin might improve skin appearance after menopause and in people over the age of 60 years. Depression. Taking 30-500 mg of DHEA by mouth daily seems to improve symptoms of depression. Lower doses don't seem to help. Inability to become pregnant within a year of trying to conceive (infertility). Taking DHEA by mouth before in-vitro fertilization (IVF) might improve the chances of pregnancy and having a baby. But it's not clear if taking DHEA helps prevent miscarriage after IVF.
Dhea,Possibly Ineffective for,"Aging. Taking DHEA by mouth daily for up to 2 years doesn't seem to improve body shape, bone strength, muscle strength, or quality of life in people older than 60 who have low DHEA levels. Muscle strength. Taking DHEA by mouth doesn't improve muscle strength in adults. Physical performance in elderly adults. Taking DHEA by mouth doesn't improve physical performance in older adults."
Dhea,Likely InEffective for,"Memory and thinking skills (cognitive function). Taking DHEA by mouth does not seem to improve mental function or decrease mental decline in healthy older people, people with HIV, or in healthy young adults. An autoimmune disorder in which the glands that produce tears and saliva are damaged (Sjogren syndrome). Taking DHEA by mouth does not improve symptoms of this condition."
Diacylglycerol,Possibly Effective for,Obesity. Taking diacylglycerol by mouth seems to improve weight loss in overweight or obese adults.
Diatomaceous Earth,Insufficient Evidence for,"High cholesterol levels. Early research suggests taking diatomaceous earth might reduce levels of cholesterol in the blood patients with high cholesterol levels. Constipation. Health of skin, nails, teeth, bones, and hair. Insecticide. Removal of dead skin (exfoliation). Source of silica. Teeth cleaning. Other uses."
Diindolylmethane,,
Diiodothyronine,,
Dill,Insufficient Evidence for,"Aging skin. Applying dill seed extract to the skin may reduce the size of skinwrinkles and improve the firmness of skin. But this benefit is probably small. And applying dill doesn't reduce the number of skin wrinkles. Menstrual cramps (dysmenorrhea). Early research shows that taking dill for three days at the start of pain reduces pain in women with menstrual cramps. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Early research shows that taking dill by mouth for 6 weeks while following a cholesterol-lowering diet doesn't lower blood fats in people with high cholesterol and clogged heartarteries (coronary artery disease, CAD). Labor pain. Early research shows that taking dill seeds at the beginning of active labor might help shorten the duration of labor. But it doesn't seem to reduce labor pain. Bronchitis. Colds. Cough. Digestive tract problems. Fever. Gallbladder problems. Infections. Intestinal gas (flatulence). Liver problems. Loss of appetite. Sleep disorders. Sore mouth and throat. Spasms. Urinary tract problems. Other conditions."
